Age,Gender,School Type,Occupation Type,Years of Experience,Subject,Class Size,Teaching Duration,Teaching Strategy Usage,Average Student Scores,Student Passing Percentage,Teaching Strategy Rating,Student Positive Feedback,Teaching Strategy
32,0,1,1,8,1,4,15,0,2,2,4,3,Practical Exercises
24,0,2,2,2,2,3,45,0,1,1,4,4,Problem-based Learning
28,1,2,1,6,2,4,30,0,2,2,4,5,Problem-based Learning
40,1,2,3,15,2,2,45,1,2,1,4,4,Cooperative Learning
25,0,3,2,10,3,2,45,0,2,2,4,4,Cooperative Learning
40,0,2,2,16,0,4,45,0,3,2,5,4,Practical Exercises
26,0,2,1,2,2,4,30,1,2,3,4,4,Problem-based Learning
35,0,2,1,8,2,2,30,2,2,3,5,4,Problem-based Learning
32,1,2,0,5,0,1,30,0,2,1,4,4,Resource Sharing and Online Communities
35,0,2,1,5,2,2,45,0,2,3,4,5,Problem-based Learning
29,0,2,2,3,0,2,45,0,2,3,4,5,Problem-based Learning
30,1,2,2,3,3,2,15,0,2,1,4,5,Practical Exercises
25,0,2,1,1,1,3,15,0,2,2,3,3,Problem-based Learning
28,1,2,3,3,0,3,30,0,2,3,5,5,Practical Exercises
26,0,2,0,2,1,3,15,0,2,3,4,3,Practical Exercises
40,0,2,1,10,2,4,15,0,2,3,4,5,Resource Sharing and Online Communities
25,0,0,0,3,1,4,45,1,2,2,5,5,Problem-based Learning
1,1,1,3,1,2,3,45,0,1,0,4,3,Practical Exercises
28,0,1,3,10,1,2,30,1,1,1,4,3,Cooperative Learning
5,1,1,1,8,2,3,60,1,1,1,4,5,Practical Exercises
25,0,0,1,4,3,3,45,0,2,2,4,3,Resource Sharing and Online Communities
32,1,3,3,5,3,1,60,2,2,1,4,5,Resource Sharing and Online Communities
26,0,2,2,10,2,1,30,0,2,1,5,4,Practical Exercises
36,1,1,1,5,2,1,30,1,2,1,4,5,Practical Exercises
32,0,1,1,3,4,2,60,1,3,1,4,3,Problem-based Learning
28,1,2,2,2,1,2,45,0,1,1,4,3,Resource Sharing and Online Communities
18,1,1,3,1,3,2,45,1,1,1,3,4,Problem-based Learning
25,0,2,1,1,1,4,15,1,3,3,4,4,Cooperative Learning
26,0,2,2,3,3,3,45,0,2,3,4,4,Resource Sharing and Online Communities
20,1,2,3,3,1,2,30,0,3,1,4,2,Practical Exercises
32,0,1,3,15,4,2,30,0,2,2,4,3,Practical Exercises
52,1,2,1,10,1,1,15,1,2,1,4,4,Practical Exercises
52,1,2,3,25,1,4,61,0,2,2,4,5,Problem-based Learning
38,1,2,1,15,2,2,45,0,2,0,4,5,Cooperative Learning
25,1,2,2,2,4,2,45,0,2,1,5,3,Cooperative Learning
29,1,2,2,4,3,3,30,0,2,1,4,5,Cooperative Learning
30,0,2,1,4,2,2,45,0,2,2,4,4,Practical Exercises
19,1,2,3,1,4,2,45,0,2,1,3,3,Problem-based Learning
33,0,2,2,5,2,2,45,0,2,2,4,5,Resource Sharing and Online Communities
45,1,2,2,15,3,2,30,0,2,2,4,5,Problem-based Learning
41,1,3,1,5,3,2,45,0,2,1,5,4,Problem-based Learning
28,1,2,1,2,3,4,45,0,0,2,4,4,Continuous Evaluation and Feedback
21,0,2,1,3,4,2,30,1,2,3,4,3,Problem-based Learning
27,0,2,1,5,5,3,30,0,2,3,4,4,Problem-based Learning
30,0,2,3,4,2,4,45,0,2,3,5,5,Practical Exercises
34,0,2,2,5,2,3,45,0,2,3,4,3,Problem-based Learning
49,1,2,1,30,5,3,30,0,2,1,4,5,Problem-based Learning
29,0,2,1,7,3,3,60,0,2,3,4,5,Cooperative Learning
30,0,2,2,3,2,2,30,0,2,1,4,5,Practical Exercises
26,0,2,1,4,4,1,30,0,2,2,5,5,Practical Exercises
41,1,2,2,17,3,3,45,1,1,2,4,5,Practical Exercises
32,1,2,3,8,1,4,45,1,2,3,4,5,Cooperative Learning
24,0,2,1,2,2,3,30,0,1,2,4,4,Practical Exercises
38,0,2,2,7,1,3,45,2,2,3,4,4,Practical Exercises
26,1,2,1,5,1,3,45,1,3,3,5,4,Problem-based Learning
45,0,2,2,7,2,1,30,1,3,0,5,5,Problem-based Learning
23,0,2,1,1,1,1,30,0,2,1,4,3,Practical Exercises
32,0,1,3,5,1,1,45,0,2,1,4,3,Cooperative Learning
23,1,2,3,2,5,2,15,1,1,0,4,5,Cooperative Learning
12,0,1,3,4,1,2,45,2,1,2,3,3,Practical Exercises
22,1,2,2,1,1,3,30,1,2,1,4,5,Practical Exercises
25,1,1,3,6,2,1,30,0,2,2,4,4,Practical Exercises
23,1,3,3,3,1,2,30,0,2,1,4,5,Resource Sharing and Online Communities
19,1,1,0,1,3,3,15,1,1,2,4,4,Resource Sharing and Online Communities
37,1,1,1,5,2,3,45,0,2,2,4,4,Practical Exercises
28,1,2,2,1,0,3,45,1,2,2,4,5,Practical Exercises
25,1,1,3,1,4,2,45,0,2,1,4,3,Problem-based Learning
25,1,1,1,3,1,3,30,2,2,1,4,3,Practical Exercises
32,0,3,2,10,4,3,60,1,1,1,3,4,Problem-based Learning
30,0,1,3,4,1,2,30,0,2,1,3,4,Cooperative Learning
35,0,2,1,12,3,3,60,0,2,3,4,5,Cooperative Learning
